step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
0,'C1093826151','4','M','28007','M348934600','28007','es_transportation',4.55,0
0,'C352968107','2','M','28007','M348934600','28007','es_transportation',39.68,0
0,'C2054744914','4','F','28007','M1823072687','28007','es_transportation',26.89,0
0,'C1760612790','3','M','28007','M348934600','28007','es_transportation',17.25,0
0,'C757503768','5','M','28007','M348934600','28007','es_transportation',35.72,0
0,'C1315400589','3','F','28007','M348934600','28007','es_transportation',25.81,0
0,'C765155274','1','F','28007','M348934600','28007','es_transportation',9.1,0
0,'C202531238','4','F','28007','M348934600','28007','es_transportation',21.17,0
0,'C105845174','3','M','28007','M348934600','28007','es_transportation',32.4,0
0,'C39858251','5','F','28007','M348934600','28007','es_transportation',35.4,0
0,'C98707741','4','F','28007','M348934600','28007','es_transportation',14.95,0
0,'C1551465414','1','M','28007','M1823072687','28007','es_transportation',1.51,0
0,'C623601481','3','M','28007','M50039827','28007','es_health',68.79,0
0,'C1865204568','5','M','28007','M1823072687','28007','es_transportation',20.32,0
0,'C490238464','3','M','28007','M348934600','28007','es_transportation',13.56,0
0,'C194016923','3','F','28007','M348934600','28007','es_transportation',30.19,0
0,'C1207205377','4','M','28007','M1823072687','28007','es_transportation',17.54,0
0,'C834963773','5','F','28007','M348934600','28007','es_transportation',40.69,0
0,'C1897705669','2','M','28007','M348934600','28007','es_transportation',21.21,0
